Capacity,id,Country Code,K,BC,CC,idx,Community,B,Z,P,phi,rho_C,rho_CM
149559,77,PAN,29,0.000746742,0.55513308,2,3,-0.1907,-0.4865,0.7491,0.837837838,1.226937407,0.340518018
346624,530,DEU,22,0.000199381,0.532846715,91,3,-0.6605,-0.6762,0.7562,0.28372093,1.172488842,0.064147804
660466,237,ITA,40,0.004292787,0.579365079,39,3,0.6707,-0.4865,0.7588,0.783574879,1.240455536,0.317008696
1447331,498,FRA,55,0.006586062,0.616033755,84,3,1.1406,1.2204,0.7656,0.963157895,1.211486583,0.389357895
3127870,515,NLD,66,0.010943259,0.646017699,89,3,1.6887,1.979,0.7736,--,--,--
1252131,501,GBR,48,0.002507449,0.598360656,85,3,0.8273,0.6514,0.7752,0.571722718,1.288347847,0.216395333
605543,366,USA,43,0.002290501,0.586345382,66,3,0.5141,0.4618,0.7777,0.668797954,1.267612626,0.263558824
1509575,505,BEL,52,0.004716794,0.608333333,87,3,1.2189,0.4618,0.7788,--,--,--
2844525,532,DEU,53,0.005671288,0.610878661,92,3,1.2189,0.6514,0.7796,1,1.0793,0.297333333
1157792,369,USA,59,0.011798423,0.626609442,68,3,1.767,0.4618,0.7889,0.683173077,1.255581937,0.268273077
99713,139,CHN,17,0,0.506944444,6,4,-0.5827,0.0406,0.2076,0.091440158,1.024297553,0.002927327
99713,140,CHN,17,0,0.506944444,7,4,-0.5827,0.0406,0.2076,0.106268739,1.030807946,0.004575466
99713,141,CHN,17,0,0.506944444,8,4,-0.5827,0.0406,0.2076,0.091440158,1.024297553,0.002927327
99713,143,CHN,17,0,0.506944444,9,4,-0.5827,0.0406,0.2076,0.091440158,1.024297553,0.002927327
99713,165,CHN,17,0,0.506944444,20,4,-0.5827,0.0406,0.2076,0.155226343,1.065024238,0.014585269
99713,167,CHN,17,0,0.506944444,21,4,-0.5827,0.0406,0.2076,0.121344446,1.040142472,0.006958096
99713,174,CHN,17,0,0.506944444,24,4,-0.5827,0.0406,0.2076,0.192008977,1.096382094,0.026017755
99713,178,CHN,17,0,0.506944444,27,4,-0.5827,0.0406,0.2076,0.101689322,1.028792342,0.004022092
99713,179,CHN,17,0,0.506944444,28,4,-0.5827,0.0406,0.2076,0.133892842,1.053351029,0.009930171
99713,180,CHN,17,0,0.506944444,29,4,-0.5827,0.0406,0.2076,0.096101971,1.026273931,0.003396435
74646,675,BRA,14,0,0.506944444,103,4,-0.5399,-0.5436,0.3367,0.162217728,1.066223868,0.015968975
180452,170,CHN,19,0.000387726,0.51590106,22,4,-0.4971,0.0406,0.3546,0.386438765,1.232191118,0.115062646
74727,858,NAM,14,0,0.505190311,129,4,-0.4971,-0.6896,0.4388,0.361862496,1.217745522,0.101958721
74727,859,AGO,14,0,0.505190311,130,4,-0.4971,-0.6896,0.4388,0.557777778,1.304509,0.212397576
74727,863,AGO,14,0,0.505190311,131,4,-0.4971,-0.6896,0.4388,0.285639068,1.170788951,0.064545347
74727,871,COG,14,0,0.505190311,132,4,-0.4971,-0.6896,0.4388,0.591930541,1.291814058,0.22777809
