id,Capacity,Country Code,K,BC,phi,rho_C,rho_CM
812,16631,MYS,11,0,0.0691,1.0093,0.00076044
813,118276,MYS,42,0.0003011,0.2638,1.1231,0.046494629
815,4949,MYS,13,3.88E-05,0.0791,1.0151,0.001439895
816,54112,MYS,29,0.00070517,0.1569,1.05,0.011880172
817,31271,PHL,25,0.000136145,0.1339,1.0384,0.00750745
819,111263,PHL,55,0.000813492,0.3873,1.2096,0.105679086
820,8083,THA,8,6.89E-07,0.0558,1.0035,0.000218826
822,16406,THA,5,0,0.0481,1.0015,7.67E-05
825,13517,PHL,13,7.77E-07,0.0791,1.0151,0.001439895
829,15033,PHL,11,2.13E-05,0.0691,1.0093,0.00076044
831,3301,VNM,4,0,0.0448,1.0007,3.42E-05
832,43646,KHM,24,3.97E-05,0.1298,1.0364,0.00684506
834,1068754,VNM,82,0.001888427,0.6081,1.2542,0.217647339
837,876402,THA,83,0.001434288,0.6191,1.2515,0.222357724
838,3422,THA,9,0,0.062,1.0063,0.000442898
839,6212,THA,13,0,0.0791,1.0151,0.001439895
840,208771,THA,63,0.002875132,0.4428,1.2231,0.131979768
841,16045,VNM,9,1.38E-06,0.062,1.0063,0.000442898
842,19734,PHL,20,6.29E-05,0.1142,1.0284,0.004563422
845,200550,PHL,56,0.000470177,0.3982,1.2187,0.111941181
846,69154,PHL,40,0.000147873,0.2415,1.1093,0.038018762
848,31293,VNM,25,0.00010279,0.1339,1.0384,0.00750745
849,33719,MMR,17,7.29E-06,0.0974,1.0219,0.002817912
851,181847,VNM,69,0.001579637,0.4906,1.228,0.154680077
852,794342,ZAF,75,0.001099768,0.5549,1.2674,0.194163366
853,584964,ZAF,80,0.002312864,0.5993,1.2607,0.214765674
855,924449,ZAF,107,0.008349706,0.7679,1.2133,0.286020408
856,23448,ZAF,19,3.31E-05,0.1094,1.0268,0.00404895
857,3601,NAM,5,0,0.0481,1.0015,7.67E-05
858,281625,NAM,54,0.001387169,0.3742,1.1983,0.098274877
859,288742,AGO,77,0.002890685,0.5772,1.2786,0.207803289
860,108333,NGA,51,0.001191317,0.3376,1.1721,0.079372437
861,375,CPV,4,0,0.0448,1.0007,3.42E-05
862,33518,AGO,13,2.45E-06,0.0791,1.0151,0.001439895
863,146308,AGO,47,0.001164173,0.302,1.1512,0.063157283
864,3863,AGO,13,0,0.0791,1.0151,0.001439895
865,23114,AGO,33,0.000250034,0.1871,1.0689,0.019513768
866,12612,COD,23,7.07E-05,0.1262,1.034,0.006221646
867,15552,COD,13,2.47E-06,0.0791,1.0151,0.001439895
868,28226,COD,16,1.12E-05,0.0924,1.021,0.002471755
869,12345,AGO,23,0.000133513,0.1262,1.034,0.006221646
870,4563,AGO,14,2.73E-06,0.0847,1.0167,0.00176881
871,310550,COG,81,0.003318093,0.6066,1.2593,0.218145828
872,38284,GAB,49,0.000541498,0.3212,1.1615,0.071594375
873,14483,GAB,31,0.000280364,0.1737,1.058,0.015588794
874,13200,STP,26,5.34E-05,0.1412,1.0445,0.009067398
875,44555,GAB,28,5.44E-05,0.1513,1.0469,0.010681018
876,46584,GNQ,33,0.000173867,0.1871,1.0689,0.019513768
877,6083,CMR,18,0,0.1033,1.0242,0.003383031
878,8032,GNQ,21,8.87E-05,0.118,1.0295,0.004988469
879,55289,GNQ,55,0.001250422,0.3873,1.2096,0.105679086
880,94094,CMR,53,0.000712697,0.3586,1.1825,0.089174452
881,94933,CIV,35,0.000100255,0.207,1.0857,0.026020696
882,14843,GHA,27,0.000602971,0.146,1.0449,0.009737163
883,650,NGA,2,0,0.0411,1.0001,5.19E-06
884,380276,CIV,83,0.002921333,0.6191,1.2515,0.222357724
885,3354,NGA,11,0,0.0691,1.0093,0.00076044
886,405596,GHA,64,0.003168499,0.4571,1.2294,0.139686225
887,17544,LBR,22,0.000245736,0.1221,1.0324,0.005649549
888,444094,TGO,72,0.001496535,0.5195,1.243,0.171633028
889,23231,LBR,18,3.74E-05,0.1033,1.0242,0.003383031
890,313727,BEN,66,0.001312567,0.4677,1.224,0.143362968
891,600511,NGA,88,0.002646333,0.6573,1.2389,0.238068075
892,25231,SLE,18,5.98E-05,0.1033,1.0242,0.003383031
893,46067,GIN,24,8.10E-05,0.1298,1.0364,0.00684506
894,5693,GNB,8,3.59E-06,0.0558,1.0035,0.000218826
895,32435,GMB,25,9.67E-05,0.1339,1.0384,0.00750745
896,160970,SEN,67,0.001376822,0.4765,1.2264,0.147814524
897,6889,CPV,11,9.31E-06,0.0691,1.0093,0.00076044
898,4184,CPV,9,2.76E-06,0.062,1.0063,0.000442898
899,2705,CPV,6,0,0.0501,1.0022,0.00011865
900,27019,MRT,21,0.000304715,0.118,1.0295,0.004988469
901,14642,MRT,18,0.000199883,0.1033,1.0242,0.003383031
902,6076,ARE,23,0.000410539,0.1262,1.034,0.006221646
903,44299,KWT,41,0.000470074,0.2504,1.1146,0.041279948
904,3208,TUR,4,0,0.0448,1.0007,3.42E-05
905,708237,TUR,117,0.018522564,0.8244,1.219,0.315010976
906,138046,YEM,26,0.000566068,0.1412,1.0445,0.009067398
907,2024,YEM,4,0,0.0448,1.0007,3.42E-05
908,12206,YEM,6,0,0.0501,1.0022,0.00011865
909,1595799,OMN,83,0.006325637,0.6191,1.2515,0.222357724
