id,Capacity,Country Code,K,BC,phi,rho_C,rho_CM
776,83058,IDN,23,0.000865871,0.1515,1.0728,0.014424364
777,65073,IDN,20,0.000472722,0.1334,1.0595,0.010272295
778,9655,IDN,13,7.55E-05,0.0848,1.0269,0.002729308
779,11882,IDN,3,0,0.0404,1.0007,2.90E-05
781,1139,IDN,10,0,0.0658,1.011,0.000849871
782,1670,IDN,2,0,0.0382,1.0002,6.06E-06
784,15102,IDN,13,3.14E-06,0.0848,1.0269,0.002729308
785,3374,IDN,11,0,0.0718,1.0165,0.001386785
786,33508,IDN,11,2.88E-05,0.0718,1.0165,0.001386785
787,15256,IDN,12,8.39E-06,0.0783,1.024,0.002177838
789,30357,IDN,9,0,0.0623,1.0088,0.000640648
790,16241,IDN,16,0.000136329,0.103,1.0405,0.005147095
791,3374,IDN,11,0,0.0718,1.0165,0.001386785
793,3374,IDN,11,0,0.0718,1.0165,0.001386785
794,7607116.5,SGP,232,0.061166934,1,1.1051,0.3322
795,3116464,MYS,173,0.025433811,1,1.1486,0.361911111
796,94338,MYS,49,0.001525382,0.383,1.2257,0.1091082
797,17173,IDN,10,0.000140783,0.0658,1.011,0.000849871
798,42007,MYS,16,0.000231425,0.103,1.0405,0.005147095
799,3220,IDN,11,0,0.0718,1.0165,0.001386785
800,3374,IDN,11,0,0.0718,1.0165,0.001386785
801,27701,MYS,18,0.000285807,0.1191,1.0496,0.007532079
802,3504922,MYS,173,0.027008281,1,1.1486,0.361911111
803,80436.5,MYS,25,0.000507261,0.1667,1.085,0.018534148
804,30357,IDN,9,0,0.0623,1.0088,0.000640648
806,72016,IDN,25,0.001320532,0.1667,1.085,0.018534148
807,25876,MYS,21,3.62E-05,0.1384,1.062,0.011217188
808,16034,MYS,16,0.000130663,0.103,1.0405,0.005147095
809,9339,MYS,13,7.59E-05,0.0848,1.0269,0.002729308
810,20945.5,BRN,16,0.000231425,0.103,1.0405,0.005147095
811,1083,MYS,9,0,0.0623,1.0088,0.000640648
812,16631,MYS,11,0,0.0718,1.0165,0.001386785
813,118739,MYS,46,0.0008241,0.3526,1.2139,0.094408788
815,14546,MYS,14,0.000105823,0.0926,1.0315,0.003570818
816,40300,MYS,19,0.000350989,0.1258,1.0548,0.008824948
817,56238,PHL,35,0.003308244,0.2721,1.1818,0.059740661
818,9141,PHL,11,1.06E-06,0.0718,1.0165,0.001386785
819,130018,PHL,53,0.006003068,0.427,1.2449,0.132002936
820,8083,THA,8,7.89E-07,0.0579,1.0073,0.000474727
821,3166,PHL,9,0,0.0623,1.0088,0.000640648
823,1203,PHL,4,0,0.0439,1.0011,5.26E-05
824,1972,PHL,10,0,0.0658,1.011,0.000849871
825,39687,PHL,25,0.002605596,0.1667,1.085,0.018534148
826,10335,PHL,10,6.61E-07,0.0658,1.011,0.000849871
827,1322,PHL,5,0,0.0484,1.0027,0.00014033
828,2232,PHL,11,1.06E-06,0.0718,1.0165,0.001386785
829,37558,PHL,17,0.001088523,0.1146,1.0469,0.00681053
830,12307,PHL,13,3.67E-06,0.0848,1.0269,0.002729308
831,3301,VNM,4,0,0.0439,1.0011,5.26E-05
832,43646,KHM,24,5.01E-05,0.1579,1.0785,0.016166854
833,13629,PHL,17,0.000118514,0.1146,1.0469,0.00681053
834,1062503,VNM,78,0.006353659,0.6646,1.2752,0.257562335
835,4629,PHL,11,1.09E-05,0.0718,1.0165,0.001386785
836,1322,PHL,5,0,0.0484,1.0027,0.00014033
837,873568,THA,78,0.001610576,0.6646,1.2752,0.257562335
840,188451,THA,52,0.00162937,0.4134,1.2398,0.124919935
841,16045,VNM,9,1.65E-06,0.0623,1.0088,0.000640648
842,22906,PHL,23,0.001389367,0.1515,1.0728,0.014424364
843,1322,PHL,5,0,0.0484,1.0027,0.00014033
844,11882,IDN,8,0,0.0579,1.0073,0.000474727
845,225518,PHL,69,0.018091908,0.6022,1.2832,0.226252033
846,62942,PHL,29,2.92E-05,0.2003,1.117,0.029873117
847,885,VNM,1,0,0.0367,1,6.87E-16
848,32000,VNM,25,0.000110842,0.1667,1.085,0.018534148
849,33719,MMR,17,1.26E-05,0.1146,1.0469,0.00681053
