iterations,Alpha,pval
438,2.2039,0.326673327
439,2.1725,0.071928072
440,2.2417,0.412587413
441,2.2073,0.247752248
442,2.2999,0.656343656
443,2.172,0.148851149
444,2.2304,0.327672328
445,2.1916,0.486513487
446,2.216,0.225774226
447,2.1185,0.056943057
448,2.2596,0.342657343
449,2.2242,0.378621379
450,2.1644,0.040959041
451,2.2156,0.103896104
452,2.178,0.064935065
453,2.2293,0.240759241
454,2.2612,0.183816184
455,2.127,0.131868132
456,2.1945,0.16983017
457,2.1699,0.104895105
458,2.1183,0.056943057
459,2.2008,0.16983017
460,2.1046,0.12987013
461,2.1819,0.261738262
462,2.2319,0.028971029
463,2.1717,0.057942058
464,2.1632,0.155844156
465,2.1624,0.187812188
466,2.1624,0.215784216
467,2.2308,0.092907093
468,2.2765,0.054945055
469,2.2212,0.345654346
470,2.2292,0.140859141
471,2.2134,0.511488511
472,2.1981,0.026973027
473,2.1619,0.4995005
474,2.1896,0.143856144
475,2.2119,0.427572428
476,2.1129,0.158841159
477,2.0991,0.027972028
478,2.2571,0.517482517
479,2.1345,0.21978022
480,2.2696,0.438561439
481,2.2375,0.310689311
482,2.1951,0.05994006
483,2.2482,0.260739261
484,2.2342,0.822177822
485,2.2491,0.023976024
486,2.2264,0.116883117
487,2.2072,0.40959041
488,2.2166,0.140859141
489,2.21,0.146853147
490,2.1757,0.274725275
491,2.23,0.230769231
492,2.1781,0.142857143
493,2.2353,0.198801199
494,2.177,0.316683317
495,2.1169,0.126873127
496,2.2077,0.154845155
497,2.1639,0.127872128
498,2.2063,0.275724276
499,2.1994,0.470529471
500,2.2611,0.276723277
501,2.2347,0.132867133
502,2.1668,0.023976024
503,2.1882,0.372627373
504,2.1981,0.308691309
505,2.1665,0.258741259
506,2.0961,0.256743257
507,2.1935,0.202797203
508,2.2374,0.200799201
509,2.2248,0.120879121
510,2.2112,0.163836164
511,2.3172,0.367632368
512,2.1836,0.213786214
513,2.3215,0.381618382
514,2.2206,0.405594406
515,2.2708,0.681318681
516,2.1301,0.08991009
517,2.1557,0.187812188
518,2.1963,0.544455544
519,2.1542,0.304695305
520,2.1435,0.058941059
521,2.1557,0.127872128
522,2.1408,0.16983017
523,2.2463,0.628371628
524,2.2108,0.06993007
525,2.1977,0.408591409
526,2.3601,0.444555445
527,2.3335,0.012987013
528,2.1343,0.052947053
529,2.1654,0.215784216
530,2.2028,0.127872128
531,2.1688,0.224775225
532,2.2539,0.147852148
533,2.1474,0.10989011
534,2.2999,0.337662338
535,2.2982,0.306693307
536,2.229,0.258741259
537,2.2756,0.676323676
538,2.2008,0.040959041
539,2.1695,0.036963037
540,2.195,0.246753247
541,2.2051,0.36963037
542,2.2177,0.377622378
543,2.1671,0.138861139
544,2.2242,0.724275724
545,2.215,0.608391608
546,2.2026,0.27972028
547,2.2225,0.414585415
548,2.1959,0.317682318
549,2.1038,0.058941059
550,2.1453,0.144855145
551,2.3198,0.709290709
552,2.2195,0.254745255
553,2.2385,0.286713287
554,2.2064,0.372627373
555,2.1912,0.180819181
556,2.2368,0.567432567
557,2.2244,0.536463536
558,2.2283,0.255744256
559,2.2766,0.400599401
560,2.1832,0.216783217
561,2.2375,0.444555445
562,2.1229,0.002997003
563,2.1924,0.128871129
564,2.154,0.020979021
565,2.2627,0.281718282
566,2.1494,0.057942058
567,2.2104,0.094905095
568,2.0918,0.035964036
569,2.1323,0.10989011
570,2.1548,0.025974026
571,2.2101,0.144855145
572,2.2028,0.454545455
573,2.2289,0.715284715
574,2.1162,0.038961039
575,2.143,0.032967033
576,2.1751,0.234765235
577,2.197,0.203796204
578,2.1945,0.187812188
579,2.1095,0.054945055
580,2.1928,0.171828172
581,2.3164,0.76023976
582,2.1441,0.091908092
583,2.202,0.386613387
584,2.2372,0.596403596
585,2.1804,0.213786214
586,2.2136,0.485514486
587,2.1947,0.465534466
588,2.1969,0.44955045
589,2.1593,0.050949051
590,2.1075,0.072927073
591,2.1816,0.087912088
592,2.1108,0.135864136
593,2.1473,0.07992008
594,2.1435,0.18981019
595,2.1822,0.248751249
596,2.1933,0.034965035
597,2.1439,0.203796204
598,2.1551,0.093906094
599,2.2131,0.547452547
600,2.2123,0.452547453
601,2.1666,0.030969031
602,2.2708,0.260739261
603,2.2006,0.188811189
604,2.1845,0.367632368
605,2.249,0.404595405
606,2.1312,0.083916084
607,2.1885,0.132867133
