id,Capacity,Country Code,K,BC,phi,rho_C,rho_CM
454,2086,JPN,8,0,0.0619,1.0053,0.000376924
455,5871,JPN,31,3.93E-06,0.2352,1.1202,0.037134384
456,18776,JPN,49,0.000132234,0.4117,1.2293,0.116752685
457,918571,RUS,75,0.001605927,0.6782,1.2727,0.253117647
459,3129,JPN,11,0,0.074,1.0117,0.00102696
460,35867,RUS,33,0.000427243,0.2547,1.1369,0.044948751
461,2040,JPN,6,0,0.0538,1.0022,0.00013215
462,8478,JPN,27,1.16E-05,0.195,1.0899,0.023443694
463,617,RUS,3,0,0.0444,1.0004,1.86E-05
464,405,RUS,3,0,0.0444,1.0004,1.86E-05
470,11081,GBR,30,0.000113139,0.2237,1.1096,0.032679196
471,30730,POL,23,6.15E-05,0.1593,1.0632,0.013605553
472,6418,VIR,17,7.82E-05,0.1193,1.0407,0.0062313
474,496359,GBR,100,0.011506504,0.8142,1.218,0.306037166
475,8581,ESP,17,0.000108769,0.1193,1.0407,0.0062313
477,2792,ESP,9,0,0.0666,1.0069,0.000544233
478,2094,ESP,7,0,0.0587,1.0038,0.000255309
479,441525,PRT,64,0.002854361,0.5692,1.2604,0.195227839
480,12360,PRT,20,0.000144967,0.1405,1.0515,0.009656301
481,272753,PRT,76,0.00679125,0.6979,1.2785,0.264827506
482,700,PRT,4,0,0.0476,1.0008,3.99E-05
483,88916,PRT,57,0.003387646,0.4836,1.2374,0.149758692
484,46886,ESP,30,0.000392214,0.2237,1.1096,0.032679196
485,42430,ESP,13,2.35E-05,0.0876,1.0217,0.002291562
486,44588,ESP,33,0.001691439,0.2547,1.1369,0.044948751
487,660,ESP,1,0,0.0409,1,4.44E-16
490,7469,ESP,14,1.13E-05,0.0969,1.0269,0.003220767
491,803,FRA,2,0,0.0425,1.0001,3.54E-06
494,36557,FRA,17,0.000140884,0.1193,1.0407,0.0062313
495,822,FRA,3,0,0.0444,1.0004,1.86E-05
496,150,GGY,3,0,0.0444,1.0004,1.86E-05
497,23074,FRA,19,0.000141924,0.1319,1.0488,0.008363061
498,2115788,FRA,148,0.017101798,0.9412,1.1337,0.317448529
499,150,GGY,3,0,0.0444,1.0004,1.86E-05
500,3888,GBR,7,0,0.0587,1.0038,0.000255309
501,1425443,GBR,65,0.003606744,0.5763,1.2487,0.196024817
502,230506,FRA,59,0.004002485,0.4989,1.2296,0.15500529
503,7004,BEL,4,0,0.0476,1.0008,3.99E-05
505,2803405,BEL,190,0.042553277,1,1.0968,0.304095238
506,682599,BEL,44,0.00204572,0.3613,1.1982,0.090730952
509,4569,GBR,4,3.33E-07,0.0476,1.0008,3.99E-05
511,195,GBR,1,0,0.0409,1,4.44E-16
512,14856,NLD,27,0.004373004,0.195,1.0899,0.023443694
513,34878,IRL,16,7.70E-05,0.1073,1.0356,0.004724014
515,4284917,NLD,241,0.117321474,1,1,0.242
517,2372430,GBR,97,0.004906534,0.7896,1.2024,0.288501057
519,3088,IRL,9,0,0.0666,1.0069,0.000544233
521,75886,GBR,18,7.18E-06,0.1255,1.0442,0.007189397
524,30129,IRL,25,0.003674656,0.175,1.0732,0.017423052
527,49542,GBR,27,0.001586433,0.195,1.0899,0.023443694
528,5879,POL,8,8.07E-06,0.0619,1.0053,0.000376924
529,340,GBR,3,0,0.0444,1.0004,1.86E-05
530,415918,DEU,46,0.002302088,0.3768,1.2092,0.098760979
532,3568788,DEU,188,0.060473239,1,1.1198,0.31875
533,1902354,DEU,160,0.035351929,1,1.1618,0.349346154
535,16961,GBR,31,0.000642012,0.2352,1.1202,0.037134384
536,1816,DEU,7,0,0.0587,1.0038,0.000255309
537,7004,DEU,8,0,0.0619,1.0053,0.000376924
539,3088,GBR,9,0,0.0666,1.0069,0.000544233
541,225241,POL,29,0.000946327,0.2107,1.1012,0.028410741
542,34701,GBR,23,0.000142477,0.1593,1.0632,0.013605553
543,19059,GBR,12,0.00050772,0.0804,1.0186,0.001743468
544,179766,RUS,31,0.001024827,0.2352,1.1202,0.037134384
546,19188,GBR,20,3.67E-05,0.1405,1.0515,0.009656301
547,1540,GBR,1,0,0.0409,1,4.44E-16
549,15194,DNK,17,0,0.1193,1.0407,0.0062313
550,45624,LTU,26,0.000522906,0.1854,1.0837,0.020718593
551,12640,DNK,17,0,0.1193,1.0407,0.0062313
552,18349,DNK,22,1.83E-05,0.1529,1.0595,0.01222577
553,2912,GBR,7,2.64E-06,0.0587,1.0038,0.000255309
554,1330,SWE,4,0,0.0476,1.0008,3.99E-05
556,25293,GBR,12,1.15E-05,0.0804,1.0186,0.001743468
557,29247,SWE,29,0.000134972,0.2107,1.1012,0.028410741
558,239660,DNK,45,0.004772941,0.372,1.2071,0.096534165
560,20164,SWE,26,0.000233515,0.1854,1.0837,0.020718593
562,17695,LVA,13,1.70E-05,0.0876,1.0217,0.002291562
563,4255,DNK,16,0.011112675,0.1073,1.0356,0.004724014
564,1816,SWE,7,0,0.0587,1.0038,0.000255309
565,518,GBR,1,0,0.0409,1,4.44E-16
567,187375,SWE,39,0.002918502,0.3218,1.1927,0.075378445
569,21371,NOR,39,0.000329811,0.3218,1.1927,0.075378445
572,1398,NOR,15,0,0.1032,1.031,0.004000512
573,7156,SWE,9,4.50E-06,0.0666,1.0069,0.000544233
574,508,SWE,4,0,0.0476,1.0008,3.99E-05
575,3892,NOR,20,0,0.1405,1.0515,0.009656301
576,1398,NOR,15,0,0.1032,1.031,0.004000512
577,8974,NOR,34,0.000128858,0.273,1.1554,0.05322109
579,21357,NOR,32,0.000198876,0.2469,1.1332,0.042224206
580,4208,NOR,14,3.22E-06,0.0969,1.0269,0.003220767
582,12640,NOR,17,0,0.1193,1.0407,0.0062313
583,12640,NOR,17,0,0.1193,1.0407,0.0062313
584,22386,NOR,34,0.000513924,0.273,1.1554,0.05322109
587,15260,SWE,17,0.000155142,0.1193,1.0407,0.0062313
589,8112,NOR,29,0.001244473,0.2107,1.1012,0.028410741
590,21070,NOR,32,0.000198876,0.2469,1.1332,0.042224206
591,23755,EST,17,3.13E-05,0.1193,1.0407,0.0062313
593,36178,RUS,20,0.000454097,0.1405,1.0515,0.009656301
594,1398,NOR,15,0,0.1032,1.031,0.004000512
595,3374,NOR,20,0,0.1405,1.0515,0.009656301
596,1908,NOR,8,1.39E-05,0.0619,1.0053,0.000376924
598,4772,NOR,26,2.12E-05,0.1854,1.0837,0.020718593
599,142127,RUS,48,0.002756761,0.3993,1.2194,0.109723333
600,21475,NOR,30,0.000144788,0.2237,1.1096,0.032679196
601,4772,NOR,26,2.12E-05,0.1854,1.0837,0.020718593
602,5304,RUS,15,1.45E-05,0.1032,1.031,0.004000512
604,41754,FIN,22,0.000518343,0.1529,1.0595,0.01222577
605,2260,NOR,16,1.51E-06,0.1073,1.0356,0.004724014
606,9492,NOR,29,0.001244473,0.2107,1.1012,0.028410741
609,36778,FIN,17,9.97E-06,0.1193,1.0407,0.0062313
611,14415,SWE,14,1.12E-05,0.0969,1.0269,0.003220767
612,3340,NOR,5,0,0.0517,1.0016,9.16E-05
614,19216,FIN,25,0.000140023,0.175,1.0732,0.017423052
615,1599,FRO,7,0,0.0587,1.0038,0.000255309
616,509,FIN,3,0,0.0444,1.0004,1.86E-05
617,6714,NOR,23,0.001195597,0.1593,1.0632,0.013605553
619,3340,NOR,5,0,0.0517,1.0016,9.16E-05
620,6152,NOR,26,2.12E-05,0.1854,1.0837,0.020718593
621,6867,FRO,14,0.002604646,0.0969,1.0269,0.003220767
624,1602,SWE,4,0,0.0476,1.0008,3.99E-05
625,9492,NOR,34,0.000128858,0.273,1.1554,0.05322109
627,3340,NOR,13,0,0.0876,1.0217,0.002291562
630,3374,NOR,20,0,0.1405,1.0515,0.009656301
631,6714,NOR,28,6.53E-05,0.199,1.0936,0.024770296
632,3415,ISL,10,1.29E-05,0.07,1.0091,0.00075216
633,1398,NOR,15,0,0.1032,1.031,0.004000512
636,1602,SWE,4,0,0.0476,1.0008,3.99E-05
637,11290,ISL,32,0.017052862,0.2469,1.1332,0.042224206
639,4533,ISL,11,9.54E-06,0.074,1.0117,0.00102696
641,1736,FIN,5,0,0.0517,1.0016,9.16E-05
643,3407,FIN,8,2.32E-05,0.0619,1.0053,0.000376924
644,2934,ISL,7,0,0.0587,1.0038,0.000255309
645,1671,SWE,5,0,0.0517,1.0016,9.16E-05
646,2134,ISL,9,0,0.0666,1.0069,0.000544233
647,3407,FIN,8,2.32E-05,0.0619,1.0053,0.000376924
648,3374,NOR,20,0,0.1405,1.0515,0.009656301
649,1671,FIN,5,0,0.0517,1.0016,9.16E-05
650,1736,FIN,5,0,0.0517,1.0016,9.16E-05
652,2134,ISL,9,0,0.0666,1.0069,0.000544233
653,3374,NOR,20,0,0.1405,1.0515,0.009656301
654,3340,NOR,13,0,0.0876,1.0217,0.002291562
655,3374,NOR,20,0,0.1405,1.0515,0.009656301
656,3374,NOR,20,0,0.1405,1.0515,0.009656301
657,2134,NOR,9,0,0.0666,1.0069,0.000544233
658,1398,NOR,15,0,0.1032,1.031,0.004000512
659,3290,ARG,5,0,0.0517,1.0016,9.16E-05
661,1914,ARG,2,0,0.0425,1.0001,3.54E-06
662,25552,ARG,15,0.0001595,0.1032,1.031,0.004000512
663,1841,ARG,1,0,0.0409,1,4.44E-16
664,23638,ARG,14,8.31E-05,0.0969,1.0269,0.003220767
665,1118,ARG,5,0,0.0517,1.0016,9.16E-05
666,661520,URY,63,0.00629354,0.5553,1.2555,0.187299703
667,819813,ARG,70,0.006191013,0.6358,1.2589,0.227972982
668,34239,ARG,18,8.76E-05,0.1255,1.0442,0.007189397
669,1684,ARG,3,0,0.0444,1.0004,1.86E-05
671,605767,BRA,68,0.007105835,0.6158,1.2577,0.217741772
672,37448,BRA,17,2.70E-06,0.1193,1.0407,0.0062313
673,427997,BRA,57,0.00203903,0.4836,1.2374,0.149758692
674,280676,BRA,40,0.00056966,0.3294,1.1955,0.078529195
675,117595,BRA,29,0.000269446,0.2107,1.1012,0.028410741
676,823974,BRA,52,0.001159661,0.4401,1.2334,0.129637672
677,1342,PRY,2,0,0.0425,1.0001,3.54E-06
678,551353,BRA,51,0.000787524,0.4213,1.2295,0.120815589
679,1071749,BRA,80,0.00333346,0.7345,1.2799,0.284220339
680,124651,BRA,27,0.000393176,0.195,1.0899,0.023443694
681,317827,BRA,55,0.001259933,0.4647,1.2262,0.138885847
682,38056,BRA,17,1.34E-05,0.1193,1.0407,0.0062313
683,214762,BRA,44,0.000458694,0.3613,1.1982,0.090730952
684,238155,BRA,42,0.000252232,0.3438,1.1966,0.083934565
685,10146,BRA,10,0,0.07,1.0091,0.00075216
686,20695,BRA,18,0.000174011,0.1255,1.0442,0.007189397
687,38741,BRA,13,0,0.0876,1.0217,0.002291562
688,65930,BRA,23,0.000180149,0.1593,1.0632,0.013605553
689,1795,BRA,5,0,0.0517,1.0016,9.16E-05
691,40218,BRA,18,0.000259136,0.1255,1.0442,0.007189397
692,11941,BRA,14,0.000491148,0.0969,1.0269,0.003220767
693,9008,BRA,8,3.71E-05,0.0619,1.0053,0.000376924
696,555270,COL,54,0.001730667,0.4626,1.2282,0.138408489
697,12378,GUF,14,0.000142283,0.0969,1.0269,0.003220767
698,15075,SUR,24,0.000128711,0.1672,1.0698,0.01566722
699,9216,GUY,14,2.50E-05,0.0969,1.0269,0.003220767
700,25432,COL,21,7.39E-05,0.1455,1.0537,0.010538419
702,11031,VEN,11,3.01E-06,0.074,1.0117,0.00102696
703,654660,COL,119,0.013688718,0.892,1.2098,0.339356322
704,7213,VEN,4,0,0.0476,1.0008,3.99E-05
705,108852,VEN,33,0.001258987,0.2547,1.1369,0.044948751
